ptn	mDataSize	Pointer	p->Busy	p->Index	p->IndexTable	p->Pointer	p->Size	p->Next	p->Prev	Dbg_Count
0	24	57a0740	1	64	20440	4e07c80	547	0	57a0078	344
0	24	57a0078	1	2	18670	4dfd690	1770	57a0740	57a0094	344
0	24	57a0094	1	3	16898	4df3070	1772	57a0078	57a00b0	344
0	24	57a00b0	1	4	14581	4de5738	2317	57a0094	57a00cc	344
0	24	57a00cc	1	5	13001	4ddc318	1580	57a00b0	57a00e8	344
0	24	57a00e8	1	6	11379	4dd2b08	1622	57a00cc	57a0104	344
0	24	57a0104	1	7	9458	4dc76f0	1921	57a00e8	57a0120	344
0	24	57a0120	1	8	7290	4dbabb0	2168	57a0104	57a013c	344
0	24	57a013c	1	9	5520	4db05c0	1770	57a0120	57a0158	344
0	24	57a0158	1	10	4088	4da7f80	1432	57a013c	57a0174	344
0	24	57a0174	1	11	1968	4d9b8c0	2120	57a0158	57a0040	344
0	24	57a0040	1	0	0	4d90040	1968	57a0174	57a0724	344
0	24	57a0724	1	63	114133	502cc38	1770	57a0040	57a0708	344
0	24	57a0708	1	62	112378	50227b0	1755	57a0724	57a06ec	344
0	24	57a06ec	1	61	110383	5016ca8	1995	57a0708	57a06d0	344
0	24	57a06d0	1	60	108613	500c6b8	1770	57a06ec	57a06b4	344
0	24	57a06b4	1	59	106843	50020c8	1770	57a06d0	57a0698	344
0	24	57a0698	1	58	104924	4ff6ce0	1919	57a06b4	57a067c	344
0	24	57a067c	1	57	102946	4feb370	1978	57a0698	57a0660	344
0	24	57a0660	1	56	101323	4fe1b48	1623	57a067c	57a0644	344
0	24	57a0644	1	55	99553	4fd7558	1770	57a0660	57a0628	344
0	24	57a0628	1	54	97434	4fcaeb0	2119	57a0644	57a060c	344
0	24	57a060c	1	53	95465	4fbf618	1969	57a0628	57a05f0	344
0	24	57a05f0	1	52	94033	4fb6fd8	1432	57a060c	57a05d4	344
0	24	57a05d4	1	51	92263	4fac9e8	1770	57a05f0	57a05b8	344
0	24	57a05b8	1	50	89946	4f9f0b0	2317	57a05d4	57a059c	344
0	24	57a059c	1	49	88174	4f94a90	1772	57a05b8	57a0580	344
0	24	57a0580	1	48	86419	4f8a608	1755	57a059c	57a0564	344
0	24	57a0564	1	47	84823	4f81068	1596	57a0580	57a0548	344
0	24	57a0548	1	46	82655	4f74528	2168	57a0564	57a052c	344
0	24	57a052c	1	45	80883	4f69f08	1772	57a0548	57a0510	344
0	24	57a0510	1	44	79113	4f5f918	1770	57a052c	57a04f4	344
0	24	57a04f4	1	43	77184	4f54440	1929	57a0510	57a04d8	344
0	24	57a04d8	1	42	75364	4f499a0	1820	57a04f4	57a04bc	344
0	24	57a04bc	1	41	73592	4f3f380	1772	57a04d8	57a04a0	344
0	24	57a04a0	1	40	71822	4f34d90	1770	57a04bc	57a0484	344
0	24	57a0484	1	39	69505	4f27458	2317	57a04a0	57a0468	344
0	24	57a0468	1	38	68073	4f1ee18	1432	57a0484	57a044c	344
0	24	57a044c	1	37	66301	4f147f8	1772	57a0468	57a0430	344
0	24	57a0430	1	36	64382	4f09410	1919	57a044c	57a0414	344
0	24	57a0414	1	35	62214	4efc8d0	2168	57a0430	57a03f8	344
0	24	57a03f8	1	34	60459	4ef2448	1755	57a0414	57a03dc	344
0	24	57a03dc	1	33	59011	4ee9c88	1448	57a03f8	57a03a4	344
0	24	57a03a4	1	31	56892	4edd5e0	2119	57a03dc	57a03c0	344
0	24	57a03c0	1	32	116971	503d648	1968	57a03a4	57a0388	344
0	24	57a0388	1	30	55122	4ed2ff0	1770	57a03c0	57a036c	344
0	24	57a036c	1	29	53542	4ec9bd0	1580	57a0388	57a0350	344
0	24	57a0350	1	28	51372	4ebd060	2170	57a036c	57a0334	344
0	24	57a0334	1	27	49602	4eb2a70	1770	57a0350	57a0318	344
0	24	57a0318	1	26	47832	4ea8480	1770	57a0334	57a02fc	344
0	24	57a02fc	1	25	45912	4e9d080	1920	57a0318	57a02e0	344
0	24	57a02e0	1	24	44082	4e924f0	1830	57a02fc	57a02c4	344
0	24	57a02c4	1	23	42312	4e87f00	1770	57a02e0	57a02a8	344
0	24	57a02a8	1	22	40542	4e7d910	1770	57a02c4	57a028c	344
0	24	57a028c	1	21	38422	4e71250	2120	57a02a8	57a0270	344
0	24	57a0270	1	20	36469	4e65b38	1953	57a028c	57a0254	344
0	24	57a0254	1	19	35022	4e5d390	1447	57a0270	57a0238	344
0	24	57a0238	1	18	33252	4e52da0	1770	57a0254	57a021c	344
0	24	57a021c	1	17	30933	4e45438	2319	57a0238	57a0200	344
0	24	57a0200	1	16	29163	4e3ae48	1770	57a021c	57a01e4	344
0	24	57a01e4	1	15	27583	4e31a28	1580	57a0200	57a01c8	344
0	24	57a01c8	1	14	25812	4e27420	1771	57a01e4	57a01ac	344
0	24	57a01ac	1	13	23642	4e1a8b0	2170	57a01c8	57a0190	344
0	24	57a0190	1	12	21872	4e102c0	1770	57a01ac	0	344
